	E6	Exenta por otros

	L12

	VALORES	DESCRIPCIÓN
	01	SHA-256

	L14

	VALORES	DESCRIPCIÓN
	S	Sí
	N	No

	L15

	VALORES	DESCRIPCIÓN
	1.0	Versión actual (1.0) del esquema utilizado 

	L16

	VALORES	DESCRIPCIÓN
	E	Expedidor (obligado a Expedir la factura anulada).
	D	Destinatario
	T	Tercero

	L17

	VALORES	DESCRIPCIÓN
	N	No ha habido rechazo previo por la AEAT.
	S	Ha habido rechazo previo por la AEAT. No deberían existir operaciones de alta con valores ('Subsanacion'="N" y 'RechazoPrevio'="S"), por lo que no se admiten. 
	X	Independientemente de si ha habido o no algún rechazo previo por la AEAT, el registro de facturación no existe en la AEAT (registro existente en ese sistema informático o en algún sistema informático del obligado tributario y que no se remitió a la AEAT, por ejemplo, al acogerse a la modalidad «VERI*FACTU» desde la modalidad «NO VERI*FACTU»). No deberían existir operaciones de alta con valores ('Subsanacion'="N" y 'RechazoPrevio'="X"), por lo que no se admiten. 

	L1E

	VALORES	DESCRIPCIÓN
	01	Integridad-huella
	02	Integridad-firma
	03	Integridad - Otros
	04	Trazabilidad-cadena-registro - Reg. no primero pero con reg. anterior no anotado o inexistente
	05	Trazabilidad-cadena-registro - Reg. no último pero con reg. posterior no anotado o inexistente
	06	Trazabilidad-cadena-registro - Otros
	07	Trazabilidad-cadena-huella - Huella del reg. no se corresponde con la 'huella del reg. anterior' almacenada en el registro posterior
	08	Trazabilidad-cadena-huella - Campo 'huella del reg. anterior' no se corresponde con la huella del reg. anterior
	09	Trazabilidad-cadena-huella - Otros
	10	Trazabilidad-cadena - Otros
	11	Trazabilidad-fechas - Fecha-hora anterior a la fecha del reg. anterior
	12	Trazabilidad-fechas - Fecha-hora posterior a la fecha del reg. posterior
	13	Trazabilidad-fechas - Reg. con fecha-hora de generación posterior a la fecha-hora actual del sistema
	14	Trazabilidad-fechas - Otros 
	15	Trazabilidad - Otros 
	90	Otros 

	L2E

	VALORES	DESCRIPCIÓN
	01	Inicio del funcionamiento del sistema informático como «NO VERI*FACTU».
	02	Fin del funcionamiento del sistema informático como «NO VERI*FACTU».
	03	Lanzamiento del proceso de detección de anomalías en los registros de facturación.
	04	Detección de anomalías en la integridad, inalterabilidad y trazabilidad de registros de facturación.
	05	Lanzamiento del proceso de detección de anomalías en los registros de evento.
	06	Detección de anomalías en la integridad, inalterabilidad y trazabilidad de registros de evento.
	07	Restauración de copia de seguridad, cuando ésta se gestione desde el propio sistema informático de facturación.
	08	Exportación de registros de facturación generados en un periodo.
	09	Exportación de registros de evento generados en un periodo.
	10	Registro resumen de eventos
	90	Otros tipos de eventos a registrar voluntariamente por la persona o entidad productora del sistema informático.

	L3E

	VALORES	DESCRIPCIÓN
	S	Sí
	N	No

	L4E

	VALORES	DESCRIPCIÓN
	D	Destinatario
	T	Tercero
